Index,Time,(Imu_info).Gyro[0],(Imu_info).Gyro[1],(Imu_info).Gyro[2],(Imu_info).Accel[0],(Imu_info).Accel[1],(Imu_info).Accel[2]
6244,62.449845,0.00618506595,-0.0147220846,0.0219668187,-1.97379565,0.166928798,9.84329605
6245,62.460222,0.0125766527,0.00658320496,-0.00146900013,-1.97379565,0.128406778,9.79376793
6246,62.469974,0.00725033041,-0.00513470406,-0.0121216448,-2.01231766,0.163260028,9.86163998
6247,62.479926,0.00192400813,-0.0168526117,0.0209015533,-1.97196126,0.133909926,9.82311821
6248,62.489860,-0.00340231415,0.000191618165,-0.000403735641,-1.97379565,0.0935535133,9.86163998
6249,62.500278,0.0115113882,-0.000873646291,0.00598785095,-1.9609549,0.111897334,9.80844307
6250,62.509883,-0.00233704969,0.000191618165,-0.0121216448,-1.98663616,0.108228564,9.81027794
6251,62.519829,0.0104461238,-0.0115262913,-0.019578496,-2.04900527,0.0862159729,9.8744812
6252,62.530010,-0.00340231415,0.00764846941,0.0102489088,-1.98480177,0.146750599,9.79927158
6253,62.539945,-0.000206520781,-0.0115262913,0.00385732227,-2.00498009,0.108228564,9.81394672
6254,62.549891,0.015772447,0.00232214713,0.0113141732,-1.95728612,0.190775767,9.81761551
6255,62.559828,-0.0161854886,-0.0125915557,0.0166404955,-2.0013113,0.110062949,9.81394672
6256,62.570183,0.00192400813,-0.00619996851,-0.00359952892,-1.9627893,0.0862159729,9.85063457
6257,62.580004,-0.00340231415,-0.0115262913,-0.019578496,-2.02515817,0.108228564,9.80844307
6258,62.589953,-0.0119244298,-0.0147220846,0.00492258649,-2.02148938,0.110062949,9.83962727
6259,62.599891,-0.00340231415,0.00977899786,-0.00146900013,-2.03066134,0.0972222686,9.81761551
6260,62.609841,-0.0119244298,-0.0040694396,-0.000403735641,-1.96829236,0.152253747,9.72773075
6261,62.620210,0.00298927259,0.0129747912,-0.0217090249,-1.97562993,0.133909926,9.77909279
6262,62.630121,0.000858743675,-0.0157873482,-0.0131869093,-1.94627988,0.11923486,9.81027794
6263,62.639894,0.00831559487,-0.00193891069,0.000661528786,-1.92610168,0.0733752996,9.8066082
6264,62.649829,-0.00233704969,-0.0040694396,-0.0121216448,-2.01048326,0.11923486,9.88181877
6265,62.659990,-0.0044675786,-0.00726523297,0.0102489088,-1.92977035,0.0825472102,9.82128334
6266,62.670218,-0.000206520781,0.00232214713,-0.000403735641,-2.04900527,0.190775767,9.84696579
6267,62.680137,0.00405453704,0.00338741159,0.00279205781,-1.98480177,0.187107027,9.79376793
6268,62.690080,0.00725033041,0.00338741159,-0.000403735641,-2.01231766,0.139413059,9.86347485
6269,62.699852,-0.00340231415,0.0140400557,-0.0238395538,-1.97196126,0.203616455,9.80293941
